Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S92000003,d,0-44 years,,Males,,Cerebrovascular Disease,27,,1.83554970294687,,1.8989941868576097
2011,S92000003,d,0-44 years,,Females,,Cerebrovascular Disease,20,,1.35490890269993,,1.3948069652413126
2011,S92000003,d,45-64 years,,Males,,Cerebrovascular Disease,172,,24.1473663225667,,24.39476258062828
2011,S92000003,d,45-64 years,,Females,,Cerebrovascular Disease,133,,17.8720202101642,,18.0664781461643
2011,S92000003,d,65-74 years,,Males,,Cerebrovascular Disease,333,,146.645000198169,,150.0715334481875
2011,S92000003,d,65-74 years,,Females,,Cerebrovascular Disease,255,,98.9518861005584,,99.7459348397544
2011,S92000003,d,75plus years,,Males,,Cerebrovascular Disease,1235,,771.976321892248,,902.6421558459896
2011,S92000003,d,75plus years,,Females,,Cerebrovascular Disease,2425,,963.812324874307,,947.8820168025762
2011,S12000005,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,6.1611040698493165
2011,S12000005,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,14.380103027711604
2011,S12000005,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,42.51951211358848
2011,S12000005,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,12.172854534388312
2011,S12000005,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,177.4892245821096
2011,S12000005,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,77.16362979520873
2011,S12000005,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,690.5297885930805
2011,S12000005,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,997.1791514806686
2011,S12000006,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000006,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000006,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,18.092968530094943
