Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S08000015,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000015,,0-44 years,,Females,,Cerebrovascular Disease,1,,1.02034569312083,,0.8873879355807066
2011,S08000015,,45-64 years,,Males,,Cerebrovascular Disease,10,,19.1175346027376,,17.964917136006207
2011,S08000015,,45-64 years,,Females,,Cerebrovascular Disease,9,,15.9812486682293,,16.018853336449293
2011,S08000015,,65-74 years,,Males,,Cerebrovascular Disease,25,,133.475707421249,,136.24116062791097
2011,S08000015,,65-74 years,,Females,,Cerebrovascular Disease,17,,80.8907499048344,,81.34703483385114
2011,S08000015,,75plus years,,Males,,Cerebrovascular Disease,100,,791.014080050625,,942.0086103591528
2011,S08000015,,75plus years,,Females,,Cerebrovascular Disease,188,,962.769498642905,,937.2817761316252
2011,S08000016,,0-44 years,,Males,,Cerebrovascular Disease,1,,3.6757948906451,,4.788002003594685
2011,S08000016,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000016,,45-64 years,,Males,,Cerebrovascular Disease,1,,5.79710144927536,,5.1387901575039185
2011,S08000016,,45-64 years,,Females,,Cerebrovascular Disease,3,,16.9702455028849,,16.722773735512515
2011,S08000016,,65-74 years,,Males,,Cerebrovascular Disease,10,,160.179400929041,,168.14568566501185
2011,S08000016,,65-74 years,,Females,,Cerebrovascular Disease,5,,73.3675715333822,,74.74555305596674
2011,S08000016,,75plus years,,Males,,Cerebrovascular Disease,29,,644.874360684901,,821.3219574467112
2011,S08000016,,75plus years,,Females,,Cerebrovascular Disease,78,,1217.79859484778,,1164.0598960031489
2011,S08000017,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000017,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000017,,45-64 years,,Males,,Cerebrovascular Disease,4,,17.8754971622648,,18.092968530094943
2011,S08000017,,45-64 years,,Females,,Cerebrovascular Disease,2,,8.58995833870206,,8.567983892190282
2011,S08000017,,65-74 years,,Males,,Cerebrovascular Disease,11,,125.987859351735,,126.00773807021626
2011,S08000017,,65-74 years,,Females,,Cerebrovascular Disease,11,,117.333333333333,,117.4156450218792
2011,S08000017,,75plus years,,Males,,Cerebrovascular Disease,40,,632.911392405063,,725.6611812264484
2011,S08000017,,75plus years,,Females,,Cerebrovascular Disease,80,,901.103852218968,,875.4059350047293
2011,S08000019,,0-44 years,,Males,,Cerebrovascular Disease,2,,2.42450691590598,,2.541513377362395
2011,S08000019,,0-44 years,,Females,,Cerebrovascular Disease,4,,4.79449591868535,,4.89213991818022
2011,S08000019,,45-64 years,,Males,,Cerebrovascular Disease,7,,17.2320417507754,,18.32058558618892
2011,S08000019,,45-64 years,,Females,,Cerebrovascular Disease,7,,16.6306336271412,,16.830965394448903
2011,S08000019,,65-74 years,,Males,,Cerebrovascular Disease,20,,154.583397743082,,160.70963649207113
2011,S08000019,,65-74 years,,Females,,Cerebrovascular Disease,7,,47.5091624813357,,48.15576332787485
2011,S08000019,,75plus years,,Males,,Cerebrovascular Disease,57,,656.001841408678,,804.0118866071989
2011,S08000019,,75plus years,,Females,,Cerebrovascular Disease,148,,1130.97967293291,,1123.6522173919868
2011,S08000020,,0-44 years,,Males,,Cerebrovascular Disease,2,,1.2184868829887,,1.2590634955982216
2011,S08000020,,0-44 years,,Females,,Cerebrovascular Disease,2,,1.25703942075623,,1.2284839805688934
2011,S08000020,,45-64 years,,Males,,Cerebrovascular Disease,12,,15.4603313664356,,15.71065727949003
2011,S08000020,,45-64 years,,Females,,Cerebrovascular Disease,12,,15.390534821085,,15.55579860772635
2011,S08000020,,65-74 years,,Males,,Cerebrovascular Disease,42,,180.404621794596,,183.9435559905056
2011,S08000020,,65-74 years,,Females,,Cerebrovascular Disease,19,,74.5799968597896,,76.1321561105241
2011,S08000020,,75plus years,,Males,,Cerebrovascular Disease,115,,687.182551538691,,789.7487397774386
2011,S08000020,,75plus years,,Females,,Cerebrovascular Disease,252,,997.703697838309,,974.5502063014987
2011,S08000022,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S08000022,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S08000022,,45-64 years,,Males,,Cerebrovascular Disease,6,,12.6241373506144,,11.961271104969498
2011,S08000022,,45-64 years,,Females,,Cerebrovascular Disease,12,,24.4066141924462,,23.660242705410724
2011,S08000022,,65-74 years,,Males,,Cerebrovascular Disease,22,,130.812224997027,,137.59601666039302
